"광역시도","시군구","선거인수","투표수","이재명","윤석열","심상정","electionSum","electionRatio"
"강원도","삼척시",56233,43642,16297,25308,897,42502,0.653692782848401
"강원도","태백시",35551,27039,10846,15101,489,26436,1.20151402766264
"강원도","정선군",32101,24898,10103,13643,494,24240,1.12907928800931
"강원도","속초시",71571,52516,21713,28342,1230,51285,2.72285060185696
"강원도","고성군",24668,19218,7433,10840,427,18700,1.053946267903
"강원도","양양군",25257,19716,7343,11495,434,19272,1.19589553164978
"강원도","인제군",27897,21836,8937,11591,501,21029,1.58750169854906
"강원도","홍천군",60872,46697,18418,25851,1049,45318,3.53448222073862
"강원도","횡성군",41685,32625,12557,18546,676,31779,2.5727567413529
"강원도","영월군",34306,26925,10758,14904,536,26198,2.57991960278022
"강원도","평창군",37325,29353,11463,16571,564,28598,2.90190077646495
"강원도","화천군",21088,16494,6445,9009,433,15887,1.65088384166396
"강원도","양구군",18565,14529,5689,7878,387,13954,1.47613264671409
"강원도","철원군",37248,27846,11039,15194,722,26955,3.66504818066492
"충청북도","청주시상당구",162949,122198,55852,59685,3548,119085,29.0700087147778
"충청북도","청주시서원구",165206,124726,56323,61745,3499,121567,52.4375409779495
"충청북도","청주시흥덕구",223335,163683,76940,77952,4770,159662,1.87421923183564
"충청북도","청주시청원구",159671,117836,56679,54855,3331,114865,1.76665619269403
"충청북도","충주시",180976,135848,58801,70382,3270,132453,6.01997796587984
"충청북도","제천시",114317,87091,36442,46482,1922,84846,3.95205698310387
"충청북도","단양군",25748,20193,7271,11969,387,19627,1.04204716315973
"충청북도","영동군",41165,31795,12029,18238,664,30931,1.74329476002714
"충청북도","보은군",28971,22717,8757,12754,525,22036,1.36741147444139
"충청북도","옥천군",44671,34242,14138,18241,864,33243,2.50954962027992
"충청북도","진천군",71306,51932,25402,23759,1361,50522,3.94035726987415
"충청북도","괴산군",34819,27419,10304,15895,546,26745,2.16521536384038
"충청북도","증평군",30953,22653,10215,11264,560,22039,2.170350718592
"충청남도","천안시서북구",329610,238154,115553,110141,6568,232262,23.5681263774845
"충청남도","천안시동남구",216193,157433,71851,77739,4085,153675,15.969004492208
"충청남도","공주시",91684,68872,28472,37339,1423,67234,7.11239088212519
"충청남도","보령시",86253,65715,26207,36419,1367,63993,8.70107320442552
"충청남도","아산시",265136,192927,93262,89998,4976,188236,45.9505576725441
"충청남도","서산시",148201,108990,48642,54892,2640,106174,45.7978191103903
"충청남도","태안군",55320,42028,16678,23511,873,41062,0.482013190976157
"충청남도","금산군",44799,33699,14002,18178,647,32827,0.504888546011116
"충청남도","논산시",100285,73512,33822,36203,1601,71626,3.25539581424437
"충청남도","계룡시",34745,27992,11891,14718,799,27408,1.27664212565013
"충청남도","당진시",139481,100874,46903,49230,2258,98391,5.22382750448101
"충청남도","부여군",57573,43975,16813,25136,878,42827,2.41376239654982
"충청남도","서천군",45997,35136,15443,18168,688,34299,2.12837385014818
"충청남도","홍성군",84379,62416,25860,33581,1536,60977,4.60321893919949
"충청남도","청양군",27754,21588,7688,12932,416,21036,1.64065863443792
"충청남도","예산군",69064,51349,16904,32098,1034,50036,4.05080261525957
"전라북도","전주시완산구",285828,231447,188693,35152,3907,227752,22.42850024324
"전라북도","전주시덕진구",265049,215995,175845,32731,4006,212582,21.5711543066813
"전라북도","군산시",225149,177339,144395,27400,2613,174408,18.1234562256516
"전라북도","익산시",239340,189310,154719,28076,3074,185869,19.662268805511
"전라북도","정읍시",93594,75092,63487,9085,1040,73612,10.0089603663553
"전라북도","남원시",69190,56509,47470,7163,731,55364,13.5149847796528
"전라북도","김제시",72285,58026,48952,7164,750,56866,24.5289692535974
"전라북도","완주군",78117,63481,52862,8443,1063,62368,0.732117254269178
"전라북도","진안군",22568,18855,15637,2572,264,18473,0.284119965591231
"전라북도","무주군",21244,17429,13292,3426,313,17031,0.774057550503949
"전라북도","장수군",19371,16230,13564,2063,222,15849,0.738233400811037
"전라북도","임실군",24186,20057,16930,2416,253,19599,1.04056057221009
"전라북도","순창군",23847,19879,16980,2211,230,19421,1.0945823780184
"전라북도","고창군",47655,38707,33000,4335,518,37853,2.34891207760166
"전라북도","부안군",45702,36856,31037,4572,467,36076,2.7234158199085
"전라남도","목포시",183659,145187,125790,14936,2021,142747,11.1332524286989
"전라남도","여수시",237455,189617,162006,21986,2266,186258,15.0790309679634
"전라남도","순천시",235327,192412,162566,23709,2780,189055,18.617707477808
"전라남도","나주시",99117,81076,68994,9512,1019,79525,8.06957337045861
"전라남도","광양시",126644,100876,81441,15843,1560,98844,10.2712886287803
"전라남도","담양군",41698,34632,30076,3435,396,33907,3.58687327304963
"전라남도","장성군",38486,31666,27132,3566,386,31084,4.22646476155772
"전라남도","곡성군",25143,20717,17472,2380,305,20157,4.9205539376393
"전라남도","구례군",22770,19132,16137,2352,232,18721,8.07524414230995
"전라남도","고흥군",57414,47171,40466,5120,507,46093,0.541070430365399
"전라남도","보성군",35850,29323,25214,3102,322,28638,0.440460541038363
"전라남도","화순군",55122,45152,39327,4389,475,44191,2.00847731867301
"전라남도","장흥군",32712,27048,23565,2555,301,26421,1.23066847642302
"전라남도","강진군",30272,24960,21064,3010,298,24372,1.29397123658883
"전라남도","완도군",42767,35300,31062,3085,347,34494,1.94410815855861
"전라남도","해남군",59631,48441,42071,4690,510,47271,2.93333217500087
"전라남도","진도군",26802,21744,18692,2313,219,21224,1.60222245708333
"전라남도","영암군",46507,37333,31909,4092,521,36522,2.84845667650417
"전라남도","무안군",75012,61552,52983,6624,808,60415,4.8910632344893
"전라남도","영광군",45280,36321,30855,4056,475,35386,3.48473299732731
"전라남도","함평군",28435,23295,20467,2052,259,22778,2.31133281650181
"전라남도","신안군",35175,29213,25583,2742,272,28597,2.97163248064859
"경상북도","포항시북구",232070,183046,45053,130458,3911,179422,18.980268864751
"경상북도","포항시남구",197466,152184,38517,106712,3250,148479,20.1885620039676
"경상북도","울릉군",8141,6653,1590,4815,109,6514,1.59014180432517
"경상북도","경주시",220573,173759,43031,123196,3380,169607,73.1594430449636
"경상북도","김천시",120746,95575,22122,69272,1838,93232,1.09441950760044
"경상북도","안동시",136307,106950,30870,71881,1674,104425,1.60608603945566
"경상북도","구미시",338810,253211,67054,173950,5537,246541,11.2052681908751
"경상북도","영주시",89380,70769,17937,50214,1153,69304,3.22812339010714
"경상북도","영천시",91044,70942,14332,53537,1119,68988,3.66274772976325
"경상북도","상주시",85100,68459,13660,51935,1097,66692,3.7588120052934
"경상북도","문경시",63035,49720,9912,37738,808,48458,3.00698970904343
"경상북도","예천군",47677,39128,9147,28320,653,38120,2.87771956577537
"경상북도","경산시",230797,176406,40267,128158,3533,171958,13.4115030167654
"경상북도","청도군",38816,30953,5654,24036,489,30179,2.44322432100724
"경상북도","고령군",27955,22270,3852,17464,317,21633,2.13036875971237
"경상북도","성주군",39491,32009,5775,24975,472,31222,3.16816371923872
"경상북도","칠곡군",96181,71492,17603,50468,1369,69440,7.21579744225751
"경상북도","군위군",21784,18239,2511,15032,216,17759,1.87864695950949
"경상북도","의성군",47369,39245,6431,31176,545,38152,5.18749464621509
"경상북도","청송군",22793,18789,3716,14268,298,18282,4.46284502098138
"경상북도","영양군",14932,12337,2855,8968,208,12031,5.18953380033818
"경상북도","영덕군",32227,25897,4342,20611,310,25263,0.296553973104833
"경상북도","봉화군",28052,22707,5252,16451,361,22064,0.339350561403395
"경상북도","울진군",42282,33544,6888,25287,476,32651,1.48398526695464
"경상남도","창원시의창구",185646,143063,52289,82914,3805,139008,6.47487845163358
"경상남도","창원시성산구",213187,170073,67177,93082,5428,165687,8.79674266685922
"경상남도","창원시마산합포구",156984,120928,37657,77518,2618,117793,6.63890335481806
"경상남도","창원시마산회원구",160587,125233,41527,77282,2911,121720,7.55315504941943
"경상남도","창원시진해구",159611,119212,45890,66298,3075,115263,8.70132713300016
"경상남도","진주시",292842,228238,74975,141433,5578,221986,17.3133317942734
"경상남도","통영시",106361,80080,26387,49772,1573,77732,6.29300881144289
"경상남도","고성군",45053,34327,10348,22213,645,33206,3.27005154324453
"경상남도","사천시",94303,71772,23424,44656,1581,69661,7.06865200326334
"경상남도","김해시",444342,328521,150338,160401,8587,319326,33.1824846492846
"경상남도","밀양시",92517,70249,21906,44881,1457,68244,7.21923436594211
"경상남도","거제시",194074,145481,64355,71772,4186,140313,19.0782380031028
"경상남도","의령군",24419,19089,5396,12625,349,18370,4.48432682613652
"경상남도","함안군",54570,41791,13504,26066,921,40491,17.4656647917457
"경상남도","창녕군",54037,41401,10934,28492,716,40142,0.471213616291581
"경상남도","양산시",294133,220501,92137,116904,5364,214405,3.29760955029437
"경상남도","하동군",39640,32089,11218,18974,723,30915,1.40508420960775
"경상남도","남해군",38680,30297,10143,18503,676,29322,1.36579467339146
"경상남도","함양군",34459,26955,8526,16957,528,26011,1.38098989967635
"경상남도","산청군",31645,24913,7125,16607,464,24196,1.3637050212931
"경상남도","거창군",53049,41399,11963,27254,895,40112,2.48909099032461
"경상남도","합천군",39768,31270,6911,22742,511,30164,2.27711261757734
"제주특별자치도","제주시",408552,296826,157695,122084,10007,289786,22.6012503821652
"제주특별자치도","서귀포시",155802,112823,55435,50930,3591,109956,8.90179175720443
