"나이","성별","키_cm","몸무게_kg","앉아서앞으로구부리기_cm","윗몸일으키기","멀리뛰기","등급","bmr"
25,1,156.3,48.6,29.8,41,155,"A",1285.4
59,0,170,59.1,8.6,15,162,"D",1251.1
30,0,178.4,82.5,1.9,42,200,"D",1627.1
24,0,176,67.2,17.2,55,242,"A",1504.1
39,0,168.8,70.9,5.4,33,201,"D",1456.2
27,0,170.3,74.6,14.5,53,170,"B",1550.8
33,0,172.8,78.8,19.7,59,228,"A",1567.4
28,1,163.6,52.4,23.5,23,130,"C",1320.9
28,1,166.2,59.7,15.6,38,165,"B",1395.7
35,0,179.2,64.7,22.5,46,239,"A",1434.2
34,0,177.8,76.4,5.3,38,194,"C",1548.7
35,0,184.7,84.18,15.3,56,229,"A",1631.1
34,0,173.2,73.77,18.1,59,218,"B",1515.2
25,0,164.3,61.18,18.6,47,209,"C",1420.6
32,0,169.2,68.7,21.1,64,254,"B",1468.7
21,1,169.1,56.1,31.3,24,162,"C",1399.2
22,0,183.5,76.9,22.8,56,253,"A",1620.1
22,1,156.9,46.9,16.5,38,155,"B",1284.3
24,0,172.1,64.5,21.7,63,201,"B",1471.2
27,0,178.2,75.1,16.7,55,229,"A",1569.8
21,1,164.4,48.1,29.4,41,215,"A",1314
46,1,164.1,49.1,4.3,16,150,"D",1205.5
29,1,162.2,51.7,23.7,44,183,"A",1307
23,1,162.7,51.7,21.4,59,200,"D",1336.1
51,0,177.9,67.2,13.7,25,183,"D",1380.6
28,0,184.8,84.6,11.7,56,257,"B",1668.2
23,1,164.7,44.3,12.5,25,130,"C",1268.6
30,0,178.3,93.5,16.1,47,222,"A",1732.5
25,1,160.1,51.7,21.1,47,159,"A",1322
28,0,172.7,69.8,10,48,185,"C",1504.3
22,0,178.3,73.2,11.7,46,208,"C",1575.3
51,0,167.7,72.7,6.1,37,180,"D",1415.1
24,1,165.1,49.9,21.6,50,204,"A",1318.4
27,1,160.3,47.8,28,37,173,"A",1275.5
61,1,153.2,62.2,3,0,58,"D",1241.2
30,0,169.5,71.9,13,66,235,"B",1509.3
42,0,180.2,73.3,26,41,211,"C",1485.6
22,0,180.3,91.7,-6.9,36,210,"D",1756.5
23,1,164.7,62.5,14.7,41,165,"C",1443.4
27,1,160.2,54.5,22.5,35,171,"C",1339.7
29,0,167.9,70.7,16.2,53,181,"B",1499.6
62,0,165.6,67.6,9.8,41,188,"B",1310.6
21,0,169.2,92.9,10.9,52,226,"D",1752.7
25,0,184.1,74.7,13,49,243,"C",1586
31,1,166.9,64.1,21.5,37,150,"B",1425.1
21,0,175,66.4,13,54,248,"C",1508.7
38,0,171.6,66.3,26.2,46,204,"B",1421.8
23,1,178.1,64.2,14.6,27,126,"C",1483.8
56,0,170.1,61.5,20.5,40,195,"A",1288.4
59,0,170.3,71,22,33,182,"D",1365.8
23,1,164.4,54.3,31.7,44,186,"A",1364.1
52,0,170,75.5,10.2,29,186,"D",1441.4
33,0,178,74.66,18.6,37,198,"C",1537
58,1,154.9,51.6,19.4,31,165,"B",1156.6
21,1,160.9,61.4,20.8,47,169,"C",1435.4
27,0,176,72.86,10.1,53,231,"B",1544.4
27,0,173.5,65.3,12.1,46,229,"C",1467.3
21,1,163,62.3,12.2,44,167,"C",1447.8
57,0,168.5,66,9.5,30,212,"B",1324
29,1,166.7,52.84,29.7,48,186,"A",1326
45,0,170,70,8.5,36,219,"D",1421.5
24,1,155.5,64.4,16.7,43,174,"B",1440.3
50,1,163.9,52.5,18,26,171,"B",1219
60,0,173,68.4,12.3,52,195,"A",1341
62,0,163.7,63.9,25,29,211,"B",1271.7
39,1,159.2,45.3,18.7,36,161,"B",1193.1
22,1,162.2,60.4,22.6,37,148,"A",1423.4
54,1,156.5,52.2,13.5,16,110,"C",1184
48,0,167.2,68.5,7,31,195,"C",1388
61,1,160.9,63.1,21.1,27,140,"A",1263.7
60,0,172.5,76,16,41,206,"A",1413.1
27,0,168.6,67.2,11.6,41,223,"C",1476.7
40,1,162.5,51.4,26.3,36,174,"A",1252.9
36,0,172.1,65.64,15.4,39,215,"B",1425.7
58,0,168.5,74.9,15.8,29,188,"B",1404.7
55,1,152.8,55.6,15.7,23,130,"C",1205.3
25,1,158.1,57.9,13.7,59,157,"C",1377.9
21,0,169.6,64.5,21.5,65,248,"A",1480.8
23,1,163.8,57.5,28.8,43,164,"A",1393.7
64,0,165.8,61.3,7.6,33,166,"B",1241.1
21,0,187.4,84.4,16.8,49,257,"B",1703.9
56,1,149.4,51.6,18.8,11,117,"C",1156.1
22,0,167.3,61.4,19.9,67,240,"A",1442.2
28,1,165.4,62,21.7,31,170,"C",1416.3
53,1,152.7,46.9,18.5,20,152,"B",1131
23,0,165.7,62.7,25.5,35,237,"D",1447.1
46,0,176.8,80.9,22.1,45,206,"A",1533.7
56,1,148.2,54.7,10.7,0,134,"D",1183.7
44,0,172,71,28.7,52,203,"A",1439.4
27,0,173.8,68.4,14.1,49,244,"B",1497.6
45,0,166.5,71.5,24.2,47,201,"A",1429.6
63,0,164.7,73.8,9,22,135,"D",1363.8
26,0,183.4,83.6,16,51,231,"A",1665.5
32,0,170.8,72.2,16.6,60,205,"B",1505.2
22,1,167,50.3,23.3,39,168,"A",1335.1
21,0,175,84.7,11.6,42,156,"D",1684.4
21,0,178.9,75.5,15.4,55,213,"B",1603.1
54,1,148,53.4,23,35,145,"A",1180.2
21,0,179,82.8,19.9,56,278,"B",1673.4
24,0,163.9,64.8,13.2,47,224,"C",1459.3
31,0,178,84.66,15.1,47,196,"A",1642.4
27,0,180.9,77.1,22,52,209,"B",1593.9
22,1,163.8,54.2,19.4,41,155,"B",1366.8
61,1,152.6,56.4,20.2,4,125,"D",1184.4
60,0,171.9,60.9,10.9,28,190,"B",1267.1
41,1,160,50,22.6,38,178,"A",1230.3
59,0,166.1,67.8,22.4,34,188,"B",1327.6
51,0,174.5,71.2,13,41,203,"C",1412.9
34,0,181.1,70.5,12.7,40,217,"C",1498
22,1,169.2,53.2,27.1,54,202,"A",1366.9
22,1,162.1,55.1,23.1,43,198,"A",1372.3
23,1,161.8,47.8,21.5,47,178,"A",1297
27,1,152.3,55.5,16.1,37,113,"D",1335
25,1,160.9,63.7,23.6,37,179,"B",1438.6
37,1,149.5,38.1,23,35,167,"A",1116
21,0,170,50.1,6.4,44,210,"C",1343.3
31,0,174,67.6,5.1,38,225,"C",1471.5
49,0,176.2,73.3,9.9,33,223,"C",1445.5
27,0,182.5,81,9.1,44,233,"C",1634.2
49,1,155.9,57,17.5,25,110,"C",1252.5
36,1,156.6,55,12.5,24,149,"C",1295.7
33,0,179.2,76.3,8.7,36,188,"D",1554.9
61,1,146.5,56.16,23.5,12,118,"B",1171.1
24,1,166.9,70,23.8,47,186,"A",1514.6
25,0,168.8,63.9,20.1,49,215,"B",1454.8
28,1,161.4,55.9,18.1,30,152,"B",1350.6
26,1,162.6,57.2,20.6,43,128,"A",1374.6
62,0,175,68,2.8,33,194,"C",1331.4
51,0,172.4,75.6,22.4,55,211,"A",1451.4
26,0,180.2,103.4,16.2,46,219,"B",1849.8
21,1,160.7,56.6,30.1,32,157,"B",1388.9
56,1,149,46.7,28,41,186,"A",1108.3
52,0,165.4,74.8,18.2,56,217,"B",1426.4
21,1,169.2,64.9,22.3,39,174,"B",1483.9
56,1,157.2,60.4,14.3,16,132,"C",1254.6
36,0,169.9,67.1,16.3,59,228,"B",1435.8
32,1,163.5,55.6,24.5,36,183,"A",1332.7
21,1,159.9,49.7,24.3,11,145,"D",1321.2
63,0,165.8,63.9,14.2,28,160,"B",1270.8
32,0,168,69.8,26.3,68,248,"A",1477.1
28,0,175.1,75.5,11.4,66,247,"B",1563.4
40,0,169.8,84.1,19.8,40,220,"B",1580
26,1,158.8,56.9,20.8,37,172,"B",1364.9
56,1,156.9,49.9,1.2,20,118,"D",1153.3
22,0,168.4,69.9,16.3,61,234,"A",1525.8
29,0,172.7,72.6,3.3,40,213,"D",1526.5
61,0,171.6,86.4,-2.4,12,162,"D",1506.6
54,1,162.9,51.4,20.5,24,134,"C",1187.9
56,0,168.8,66.4,20.2,35,186,"C",1333.1
36,0,173,72.7,7.8,46,204,"C",1495.1
24,0,167.5,65.66,18.3,44,241,"C",1474
59,1,145.7,51.6,20.1,12,122,"C",1135.3
23,1,158.2,47.9,10.9,26,131,"C",1291.5
41,0,179.3,73.4,17.3,47,246,"B",1489.7
35,0,169.9,61.7,14.3,37,216,"C",1388.6
30,0,163.7,65.5,14.5,42,230,"B",1437.5
44,1,167.8,63.8,14.8,43,170,"C",1362.7
28,0,170,74,6,50,193,"D",1539.8
22,0,169.5,65,16.2,40,151,"D",1480.7
21,0,187.9,74.7,7.7,45,221,"C",1611.6
53,0,170,75.1,7.4,29,181,"D",1432.9
21,1,158.4,48.9,21.4,41,163,"A",1310.9
63,1,157.6,58.2,17.9,27,126,"B",1201.3
23,1,161.1,53,-4.4,22,143,"D",1345.7
62,0,174.7,71.9,16.6,40,205,"A",1368.3
32,0,179.7,90,1.5,50,216,"D",1692.1
38,0,172.3,71.6,6.2,47,230,"C",1473.9
24,0,180.3,80.2,19,57,235,"A",1636.7
23,0,183.3,79.4,23,48,199,"C",1639.1
63,0,172.4,71.66,15.8,38,173,"A",1357.2
27,0,178.8,73.38,21.5,54,223,"A",1554.4
59,1,158.2,54.34,28.6,42,148,"A",1184.1
36,1,166.5,53.7,18.9,40,186,"A",1301
34,1,167.5,65.8,20.5,50,174,"B",1428.4
23,0,180.4,90.5,4.5,42,185,"D",1740.4
21,1,158.8,49.7,24.2,28,174,"D",1319.3
24,0,177,89.9,12.7,54,232,"C",1723.8
55,0,170,75.5,12.5,40,216,"B",1427.3
43,0,169,68.6,20.2,55,239,"A",1415.7
22,1,159.3,54,27.2,33,189,"B",1356.7
46,0,173.9,69.4,14.5,46,237,"A",1418.1
24,0,176,77.5,9.3,38,200,"D",1603
56,1,164,57.6,23.6,27,149,"A",1240
28,0,171.4,76.8,23,41,217,"D",1569.2
53,1,160.4,59.3,-5,13,150,"D",1263.9
30,0,179.2,76.5,16.7,50,215,"A",1571
21,1,153,56.9,19.4,22,160,"D",1377.9
59,1,162,65.3,16.5,11,125,"C",1296.2
27,1,164.6,56.9,19.9,51,183,"A",1370.6
38,0,179.9,82.2,20,61,241,"B",1589.3
41,0,167.9,72.4,23.3,60,212,"B",1459.6
21,1,168.4,60.2,16.8,32,162,"B",1437.3
23,1,163.7,53.4,28,43,204,"C",1354.2
21,1,166.3,47.6,10.1,42,172,"C",1312.6
63,0,160.5,68.2,14.3,31,174,"A",1302.5
22,0,182.9,72.4,11.2,45,225,"C",1575.9
28,0,170.3,52.5,16.5,25,185,"D",1333.9
25,1,154,57.9,18.7,36,158,"C",1370.5
39,0,176.9,90.1,9.3,45,225,"C",1655.1
22,0,180.6,80,20.4,49,221,"C",1644.7
30,0,170.2,62.9,27.8,65,240,"A",1424.2
30,0,185.2,108.9,27.7,52,231,"D",1892.8
24,1,162.8,59.7,21.1,47,158,"B",1408.4
64,0,163.8,68.5,18.8,26,182,"B",1306.6
22,1,166,68.8,27.8,38,181,"A",1510.9
64,1,155.5,60,12.8,20,100,"D",1210.1
26,0,170.1,67.1,15.4,51,225,"B",1483.1
39,1,159.3,50.6,19.6,32,167,"A",1244.2
50,0,165.2,67,13.3,38,205,"B",1360.6
45,1,159.2,59.1,21.7,35,137,"A",1297.4
52,1,150.3,49.1,19.5,16,130,"D",1152.5
25,0,184,75.7,21.8,58,230,"A",1595.4
25,0,175.3,63.7,11.5,55,221,"B",1464.6
35,0,177.3,82.7,12.1,51,197,"B",1603.6
63,0,169.4,76.1,17.3,28,168,"B",1394.4
31,0,167,71.1,14.6,53,228,"A",1492.5
42,1,158.1,51,20.3,30,121,"B",1231.8
25,1,158.6,46.2,19.6,21,135,"C",1266.5
24,1,156.1,49.4,23.8,38,137,"C",1297.4
22,0,175.1,67.5,24.9,60,163,"C",1514.8
26,0,172.9,83.3,9.2,44,174,"D",1643.7
22,1,166,54.9,21.5,46,167,"C",1377.4
46,0,168,58.7,17.4,38,182,"C",1304.7
37,0,181.2,86,21.3,44,222,"B",1632.9
28,0,170,84.2,23.5,51,241,"C",1637.7
24,0,176.1,74.8,-12,1,200,"D",1577.3
27,0,170,75.9,-6.6,49,202,"D",1562.7
28,0,171,74.6,8,52,213,"D",1547.4
23,1,163.5,58.5,26.8,39,168,"C",1402.8
39,0,170.8,68.9,7.4,52,215,"C",1440.6
55,1,154.6,58.9,18.5,27,115,"B",1240.2
41,0,176.2,93.1,7.1,1,182,"D",1673.2
36,1,165.8,55.78,23.9,30,152,"B",1319.7
29,0,172.7,71.8,19.7,57,254,"A",1518.8
35,0,173.1,77.6,16.7,47,216,"B",1547
41,0,177,81.7,7.8,39,213,"C",1565.2
23,1,161.8,58.7,10.3,44,126,"C",1401.7
22,0,175.8,73.3,7.2,43,232,"C",1571.7
52,1,159.5,55.2,15,16,119,"C",1227.6
63,1,175.1,81.2,24.4,36,167,"D",1453.6
64,0,159.3,56.5,-1.4,16,144,"D",1183.3
41,0,175.7,81.2,14.3,42,199,"B",1558.1
22,1,158.5,49.3,21,59,178,"B",1310.2
21,1,170.5,67.8,9.8,39,166,"D",1514.1
44,0,177.4,87.9,5.2,28,214,"D",1611.4
50,1,157.3,51.1,20.5,33,164,"A",1193.7
26,0,180.8,69.26,1.5,53,249,"D",1523.1
53,0,167,65.7,14.2,32,185,"C",1337.2
29,0,185,85.8,17.2,55,231,"B",1675.4
47,0,177.7,87.7,12.2,44,204,"D",1595.9
25,0,179.4,74.3,20.9,58,270,"A",1573.7
40,1,159.1,50.4,25.7,32,162,"A",1237.2
51,1,161.2,47.8,14.1,29,154,"C",1164.3
40,1,163.3,47.7,27.6,32,185,"A",1218.9
27,1,169.8,64.9,12.3,49,159,"C",1456.8
24,0,179.4,78.1,-13.1,37,217,"D",1614.9
28,0,171.4,68.3,12.3,52,228,"C",1487.6
43,0,174.6,104.9,-1.3,22,173,"D",1774.2
54,0,176,68.9,10.5,44,182,"B",1379.4
23,1,167.2,54.8,19.5,39,175,"C",1373.9
28,0,175.4,69.9,23.8,58,230,"B",1510.2
29,0,170,66,6,38,185,"C",1458.3
54,0,163,75.5,3.3,42,207,"D",1419.4
23,0,178.6,83.9,16.6,43,243,"C",1673.8
35,1,158.3,70.1,21.4,41,149,"D",1448.4
29,1,161.4,61.8,18.7,41,168,"B",1402.5
37,0,174.1,80.2,-7.7,40,193,"D",1564.4
29,0,178.8,72.9,8.1,51,243,"C",1540.4
45,0,160,59.3,11.5,40,220,"B",1300.8
22,1,159.1,51.3,7.9,24,154,"D",1330.5
47,0,174.3,78.1,16.8,52,231,"C",1497.6
44,0,176.9,85.2,2.9,44,192,"D",1584.5
26,1,161.9,53.9,26,40,173,"A",1341.7
32,0,165.9,74.8,17.1,54,229,"A",1521.3
48,1,161.5,49.4,11,37,157,"C",1194.3
56,0,162.3,56.68,9,23,138,"D",1228.1
26,0,180.6,73.4,11.2,44,236,"D",1562.5
22,0,177.1,71.4,11.6,57,158,"B",1555.8
43,1,166.2,51.8,15.8,40,165,"B",1249.3
37,1,170,63,20.4,35,190,"A",1391.9
33,1,162.7,53.9,30.4,42,175,"A",1310.2
48,0,168.6,71,7,39,225,"C",1414.5
22,0,175.8,66.6,2.9,52,240,"D",1507.4
27,0,173.9,79,0.2,39,206,"D",1599.5
38,0,171.4,71.7,21.3,54,216,"A",1473.2
62,0,164.5,64.02,13,26,205,"B",1274.3
31,0,176.5,69.3,10.6,58,253,"B",1492.3
22,0,175,69.8,26.8,60,276,"A",1536.7
29,0,179,79.1,10.3,46,209,"B",1600.3
22,0,170,73.6,7,57,217,"C",1564.2
50,1,153.9,43.8,18.5,19,138,"B",1117.5
32,0,176.3,71.8,15.4,45,209,"B",1511.2
46,0,163.5,71.1,14.9,35,204,"D",1415.7
31,0,178,78.2,11.9,48,218,"B",1580.4
22,0,179.6,70,16.7,51,248,"B",1546.9
28,0,176.2,83.7,7.8,46,211,"C",1644.1
31,0,173.7,83.8,27.5,60,204,"D",1626.4
59,0,165.7,57.6,13.5,41,186,"A",1228.9
34,1,162.1,79.3,20.1,13,135,"D",1548.3
37,0,170.8,60.5,14.1,35,233,"C",1369.3
64,1,153.2,50.1,26,21,115,"B",1110.9
63,1,147.4,52.1,20.2,23,87,"C",1124.4
25,1,160,53.1,34.8,33,108,"C",1335.3
57,1,159.2,68.6,20.6,0,133,"D",1332.2
41,0,177.1,74.9,17.8,50,240,"A",1500.1
27,0,179.5,87,7.1,57,212,"C",1686.4
48,0,166.9,69.5,11.9,43,189,"B",1397
26,1,157.6,50.1,22,52,160,"A",1297.4
30,0,179.5,90.8,21.3,51,230,"A",1708.8
34,0,175,71,20.5,57,233,"B",1491.8
23,0,182.7,67.6,-11,39,234,"D",1524.7
30,0,185,77.9,15.6,44,195,"C",1594.8
25,0,175,72.6,21.2,58,226,"B",1549.5
25,0,174.3,79.68,28.5,38,217,"C",1616.2
35,0,184.6,79,6.7,45,194,"C",1581.2
54,1,162.4,56.2,16.6,19,143,"B",1233
50,1,154.6,53.2,20.2,23,158,"B",1209
21,0,175.1,103.6,-14.3,20,119,"D",1866
64,1,163.6,55.2,20.9,29,126,"A",1178.6
24,0,173.6,71.2,9.4,53,209,"C",1538.2
39,1,167.8,65.7,23.8,43,174,"B",1404.5
21,0,183,80.1,21,52,238,"C",1654.7
27,0,165.8,73.8,6,39,197,"D",1535
36,0,166.7,74.1,22.9,59,243,"A",1497.2
23,1,162.7,63.9,27.3,30,169,"C",1453.2
24,1,164.8,52,24.7,42,153,"B",1338
62,1,162.4,68.1,12.5,18,140,"C",1309.7
39,1,161.5,52,22.5,20,188,"C",1261.6
62,1,155,50.7,28.3,11,150,"C",1129.3
22,1,154.8,59.3,10.1,48,167,"C",1399.5
64,1,158,62.3,21.2,7,121,"D",1236.7
22,0,172.1,80.2,5.9,61,168,"D",1631.3
22,0,172.9,76.3,13.9,49,212,"C",1595.3
24,1,165.2,53.7,23.3,45,163,"C",1355.1
43,0,171.3,65.76,13.4,50,198,"C",1392.5
25,0,176.4,70.4,7.5,31,234,"D",1530.9
36,1,156.1,48.9,24.5,30,166,"C",1236.2
49,0,181.9,73.4,-7,36,200,"D",1456.8
54,1,150.9,54.4,24.7,21,148,"B",1195.1
56,0,173.7,76.3,16.5,38,215,"A",1436.9
24,0,179.3,86.4,16.1,49,232,"D",1694.4
46,0,176.1,69.2,16.3,42,238,"A",1420.1
24,1,160,51.8,10.2,24,120,"C",1327.5
21,0,174.8,78.7,12.5,58,199,"C",1626.5
21,1,160.8,48.9,17,47,193,"B",1315.2
25,1,168.1,57.5,19.8,30,174,"B",1392.1
21,0,169.5,61.6,19.3,64,200,"C",1452.8
51,0,169,69,12.8,27,224,"C",1381.9
21,0,175.8,66.26,14.6,42,182,"C",1508.8
21,0,171.6,72.5,-3,33,203,"D",1561.2
44,1,157.6,46.8,15.6,15,149,"D",1181.2
62,1,153.3,54.9,25,19,121,"B",1166.6
63,0,174.4,71.8,6.7,30,173,"C",1362.1
38,1,163.1,61,21.8,37,170,"A",1355.6
38,1,166.2,60.4,26.6,28,151,"B",1355.4
52,0,163.4,61.3,19.5,51,203,"A",1293.2
31,0,177.8,89.3,9.5,35,185,"C",1686.6
54,1,157.1,66.2,17.4,27,126,"B",1319.5
24,0,170.6,69.9,23.9,60,280,"A",1520.3
28,0,174.5,69.4,19.5,53,195,"D",1503.7
35,0,171.5,76.2,18.4,55,214,"C",1530.7
25,0,171.4,69.4,19,45,232,"B",1512.3
32,0,164,65.8,4.8,37,191,"C",1431.5
27,1,160.4,55.68,24.5,64,173,"A",1351.3
63,0,166.8,58.4,10.4,30,181,"C",1219.8
26,0,167.3,63.3,18.1,56,277,"B",1441.6
28,0,167.8,65.5,16.2,40,220,"C",1454.2
35,1,159.4,55.7,21.8,30,156,"C",1312.1
56,0,171.4,75,18.7,36,180,"A",1420.3
24,1,166.6,66,22,40,165,"B",1475.7
42,0,181.6,79.6,7.6,43,229,"C",1548.6
27,0,180,92.6,3.2,40,207,"D",1741.1
46,0,172.5,78.7,9.1,38,218,"B",1504.8
28,0,173.3,70.8,11.6,53,232,"C",1515
48,0,175.3,96.7,-8.7,26,185,"D",1673.3
28,0,171.6,62.2,11.4,39,235,"C",1429.4
37,0,169.3,73.84,15.6,45,183,"D",1494.7
35,0,168.1,67.1,14.5,44,228,"B",1437.2
37,0,170,83.6,25.3,57,224,"B",1589.7
28,1,167,60.5,20.8,47,210,"A",1404.8
30,0,171.5,70.7,16.1,66,228,"A",1501.4
50,0,167.8,76.1,13.9,50,193,"A",1452.6
22,1,167.4,66.2,11.2,38,0,"C",1488.4
46,0,170,77.1,8.4,31,200,"C",1485
31,1,165.1,55.1,0,27,136,"D",1335.4
54,1,164.6,67.1,23.6,37,168,"A",1341.6
36,1,155.4,49.9,20.8,32,159,"A",1244.6
37,0,171.9,96.6,14.4,18,193,"D",1717.9
37,0,172,73.1,14.3,38,242,"C",1492.5
21,0,183.5,88.7,-5.3,26,201,"D",1738.1
62,1,152.7,59.8,20.7,19,124,"D",1212.5
47,1,153.5,54.4,18.1,31,117,"C",1232.6
24,1,160.4,58.7,22.1,54,187,"A",1394.4
26,0,174.8,81.8,23.2,48,238,"B",1632.7
29,1,161.1,55.9,16,3,122,"D",1345.3
60,1,155.1,52.2,24,30,116,"B",1153.3
45,0,174.5,87.7,3.3,35,182,"D",1599.5
61,1,164.7,82.3,15.2,0,51,"D",1454.8
63,0,163.9,57.6,15.9,33,182,"A",1206.9
22,1,152.9,45,22.4,46,182,"A",1258.8
21,0,185.9,69.5,13.4,54,208,"B",1558.1
32,0,177.3,77.5,22.3,58,252,"A",1567.7
26,1,164.5,63.2,18.6,41,166,"A",1435.6
22,0,179.3,75.1,6.3,53,182,"C",1595.3
28,1,159.5,48.8,24,43,173,"A",1279
28,1,160.6,53.3,19,52,157,"A",1324.2
30,1,167.2,61,20.5,41,170,"A",1400.6
26,1,159.3,49,21.1,54,171,"B",1289.9
63,1,156.9,55.9,6,4,60,"D",1178
22,1,164.2,47.4,22.4,44,190,"B",1302.2
